island_code,atoll,island_name
LD0167,Laamu,Athahendhu
LD0168,Alifu Dhaalu,Mandhoo
LD0169,Noonu,Fushivelavaru
LD0170,Alifu Dhaalu,Rangaleefinolhu
LD0171,Dhaalu,Issari
LD0172,Gaafu Dhaalu,Dhinmanaa
LD0173,Gaafu Dhaalu,Kalhehigillaa
LD0174,Gaafu Alifu,Dhigudhoo
LD0175,Alifu Dhaalu,Theluveligaa
LD0176,Meemu, 
LD0177,Noonu,Farumuli
LD0178,Raa,Rasgetheemu
LD0179,Meemu,Dhiggaru
LD0180,Raa,Maakurathu
LD0181,Gaafu Dhaalu,Nadellaa
LD0182,Vaavu,Fulidhoo
LD0183,Lhaviyani,Maakoa
LD0184,Thaa,Maagulhi
LD0185,Baa,Horubadhoo
LD0186,Meemu,Maalhaveli
LD0187,Lhaviyani,Maabinhuraa
LD0188,Gaafu Alifu,Medhuburiyaa
LD0189,Dhaalu, 
LD0190,Thaa,Hathifushi
LD0191,Noonu,Landhoo
LD0192,Laamu,Gasgan'dufinolhu
LD0193,Shaviyani,Bolissafaru
LD0194,Raa,Kinolhas
LD0195,Gaafu Dhaalu,Vaadhoo
LD0196,Kaafu,Rannaalhi
LD0197,Baa,Kanufusheegaathufinolhu
LD0198,Gaafu Dhaalu,Kan'dahalagalaa
LD0199,Haa Dhaalu,Hirimaradhoo
LD0200,Thaa,Dhiyamigili
LD0201,Alifu Alifu,Ellaidhoo
LD0202,Kaafu,Makunufushi
LD0203,Noonu,Maalhendhoo
LD0204,Baa,Eydhafushi
LD0205,Thaa,Vilufushi
LD0206,Meemu,Medhufushi
LD0207,Gaafu Dhaalu,Filaarataa
LD0209,Dhaalu,Maaen'boodhoo
LD0210,Shaviyani,Madikuredhdhoo
LD0211,Lhaviyani,Maduvvari
LD0212,Gaafu Alifu,Vodamulaa
LD0213,Noonu,Dheefuram
LD0214,Alifu Dhaalu,Rangali
LD0215,Kaafu,Vilin'gilimathidhahuraa
LD0216,Gaafu Dhaalu,Kadelerataa
LD0217,Baa,Kunfunadhoo
LD0218,Raa,Dhoragali
LD0219,Seenu,Hankede
LD0220,Alifu Dhaalu,Bodufinolhu
LD0221,Gaafu Dhaalu,Faahuttaa
LD0222,Gaafu Alifu,Araigahthaa
LD0223,Laamu,Bodumungnafushi
LD0225,Alifu Alifu,Alikoirah
LD0226,Baa,Hulhudhoo
LD0227,Haa Alifu,Mulidhoo
LD0228,Gaafu Alifu,Kan'duvilin'gili
LD0229,Gaafu Alifu,Medharehaa
LD0230,Kaafu,Kudaban'dos
LD0231,Raa,Vaffushi
LD0232,Haa Alifu,Vashafaru
LD0233,Faafu,Dhiguvarufinolhu
LD0234,Lhaviyani,Dheruffinolhu
LD0235,Haa Dhaalu,Hanimaadhoo
LD0236,Raa,Fuggiri
LD0237,Gaafu Alifu,Maagihuttaa
LD0238,Noonu, 
LD0239,Laamu,Boduhuraa
LD0240,Thaa,Olhugiri
LD0241,Raa,Lun'dhufushi
LD0242,Gaafu Alifu,Mahthurehaa
LD0243,Gaafu Dhaalu,Hiyanigilihuttaa
LD0244,Laamu,Holhurahaa
LD0245,Gaafu Dhaalu,Boderehaa
LD0246,Haa Alifu,Huvarafushi
LD0247,Gaafu Alifu,Vilin'gili
LD0248,Shaviyani,Madidhoo
