island_code,atoll,island_name
LD0707,Seenu,Hikahera
LD0708,Haa Dhaalu,Maavaidhoo
LD0709,Thaa,Ruhthibirah
LD0710,Haa Dhaalu,Naivaadhoo
LD0711,Meemu,Kudausfushi
LD0712,Kaafu,Bulhifushi
LD0713,Noonu,Bodufushi
LD0714,Lhaviyani,Dhehuraa Evvihuraa
LD0716,Dhaalu, 
LD0717,Gaafu Dhaalu,Thinadhoo
LD0720,Laamu,Fonagaadhoo
LD0721,Kaafu, 
LD0722,Seenu,Geskalhuheraa
LD0723,Dhaalu,Vallalhohi
LD0725,Alifu Dhaalu,Nalaguraidhoo
LD0726,Gnaviyani,Fuvahmulah
LD0727,Alifu Alifu,Velifinolhu
LD0728,Gaafu Dhaalu,Kodegalaa
LD0730,Lhaviyani,Varihuraa
LD0731,Gaafu Dhaalu,Hulhehdhoo
LD0732,Baa,Hirundhoo
LD0733,Laamu,Haiythoshi
LD0734,Noonu,Maakurehdhoo
LD0735,Laamu,Kandaru
LD0736,Raa,Vandhoo
LD0737,Lhaviyani,Madhiriguraidhoo
LD0738,Kaafu,Guraidhoo
LD0739,Raa,Bodufarufinolhu
LD0740,Gaafu Dhaalu,Dhatekarunahuttaa
LD0741,Dhaalu,Maadheli
LD0742,Baa,Vinaneiyfaruhuraa
LD0743,Gaafu Alifu,Kolamaafushi
LD0744,Shaviyani,Nalandhoo
LD0745,Kaafu,Thulusdhoo
LD0746,Raa,Maamin'gili
LD0747,Dhaalu,Faandhoo
LD0748,Gaafu Dhaalu,Kudhe-ehivakaa
LD0749,Gaafu Alifu,Matu
LD0750,Noonu,Thoshigan'dukolhu
LD0751,Gaafu Dhaalu,Lonudhoohuttaa
LD0752,Faafu,Makunueri
LD0753,Kaafu,Maifalhuhuraa
LD0754,Gaafu Dhaalu,Lifadhoo
LD0755,Dhaalu,Kanneiyfaru
LD0756,Kaafu,Olhuveli
LD0757,Laamu,Hikan'dhirahaa
LD0758,Dhaalu,Valla
LD0759,Thaa,Kani
LD0760,Alifu Alifu,Madoogali
LD0761,Gaafu Dhaalu,Kalhehuttaa
LD0762,Gaafu Dhaalu,Maagalaa
LD0763,Laamu,Bodumaabulhali
LD0764,Meemu,Madifushi
LD0765,Kaafu,Nakaiychaafushi
LD0766,Gaafu Alifu,Dhaandhoo
LD0767,Noonu,Loafaru
LD0768,Gaafu Dhaalu,Viligillaa
LD0769,Baa,Veyofushi
LD0770,Gaafu Dhaalu,Menthandhuvaa
LD0771,Alifu Dhaalu,Kun'burudhoo
LD0772,Dhaalu,Hiriyafushi
LD0773,Gaafu Dhaalu,Dhathaidhuaa
LD0774,Gaafu Dhaalu,Fereythavilin'gili
LD0775,Gaafu Dhaalu,Fonehigillaa
LD0776,Baa,Funadhoo
LD0777,Laamu,Kudamungnafushi
LD0778,Gaafu Dhaalu,Haadhoo
LD0779,Raa,Maamunagaufinolhu
LD0781,Baa, 
LD0782,Alifu Dhaalu,Kalhahan'dhihuraa
LD0783,Thaa,Omadhoo
LD0784,Alifu Dhaalu,En'boodhoo
LD0785,Kaafu,Rasfari
LD0786,Meemu,Raiymandhoo
LD0787,Gaafu Alifu,Bodehuttaa
LD0788,Gaafu Dhaalu,Kudherataa
LD0790,Raa,Dhuvaafaru
LD0791,Gaafu Dhaalu,Kodedhoo
LD0792,Gaafu Alifu,Hurendhoo
LD0793,Meemu,Naalaafushi
LD0795,Noonu,Kaalhugemendhoo
LD0796,Thaa,Hulhiyanfushi
LD0797,Lhaviyani,Innahuraa
LD0798,Laamu,Rahaa
LD0799,Gaafu Alifu,Fenfuttaa
LD0800,Raa,Kan'dholhudhoo
LD0801,Haa Alifu,Govvaafushi
LD0802,Gaafu Alifu,Falhumaafushi
LD0803,Kaafu,Gasfinolhu
LD0805,Gaafu Alifu,Kodagehuttaa
LD0806,Gaafu Alifu,Lhossaa
LD0807,Alifu Alifu,Veligan'du
LD0808,Noonu,Bomasdhoo
LD0809,Lhaviyani,Bodufaahuraa
LD0810,Gaafu Dhaalu,Bodehuttaa
LD0811,Gaafu Alifu,Dhigurah
LD0812,Lhaviyani,Medha Adihuraa
LD0813,Vaavu,Bodumohoraa
LD0814,Gaafu Dhaalu,Dhoonirehaa
LD0815,Gaafu Dhaalu,Kadhefala
LD0816,Kaafu,En'boodhoo
LD0817,Seenu,Gomahera
LD0818,Shaviyani,Kudadhoo
LD0819,Faafu,Filitheyo
LD0820,Gaafu Alifu,Dhevvaamaagalaa
LD0821,Raa,Dhuvaafaruhuraa
LD0822,Raa,Kothaifaru
LD0823,Noonu,Bodulhaimendhoo
LD0824,Haa Alifu,Maarandhoofarufinolhu
LD0825,Laamu,Enberahaa
LD0826,Faafu,En'bulufushi
LD0827,Meemu,Maausfushi
LD0828,Gaafu Alifu,Hithaadhoo
LD0829,Thaa,Dhiffushi
LD0830,Meemu,Etherefasgan'du
LD0831,Dhaalu,Dhebaidhoo
LD0832,Laamu,Maandhoo
LD0833,Baa,Mendhoo
LD0835,Gaafu Dhaalu,Ulegalaa
LD0836,Shaviyani,Goidhoo
LD0837,Lhaviyani,Kudadhoo
LD0839,Gaafu Dhaalu,Kelaihuttaa
LD0840,Raa,Neyo
LD0841,Baa,Madhirivaadhoo
LD0842,Kaafu,Lhosfushi
LD0843,Kaafu,Kagi
LD0844,Baa,Dharavandhoo
LD0845,Faafu,Jinnathugau
LD0846,Gaafu Dhaalu,Kautihulhadhoo
LD0847,Gaafu Dhaalu,Kanandhoo
LD0848,Thaa,Kudadhoo
LD0849,Thaa,Mathidhoo
LD0850,Thaa,Medhafushi
LD0851,Gaafu Dhaalu,Hoadehdhoo
LD0852,Haa Dhaalu,Kurin'bee
LD0853,Kaafu, 
LD0854,Shaviyani,Gallaidhoo
LD0855,Seenu,Kaohera
LD0856,Gaafu Alifu,Kan'duhulhudhoo
LD0858,Haa Dhaalu,Kanamana
LD0859,Thaa,Vandhoo
LD0860,Lhaviyani,Masleggihuraa
LD0861,Baa,Ahivaffushi
LD0862,Haa Alifu,Velifinolhu
LD0863,Shaviyani,Funadhoo
LD0864,Dhaalu,Bulhalafushi
LD0865,Alifu Alifu,Mushimasmigili
LD0866,Noonu,Ken'dhikulhudhoo
LD0867,Gaafu Dhaalu,Hadahahuttaa
LD0868,Alifu Alifu,Fushi
LD0869,Gaafu Alifu,Boadduvaa
LD0870,Gaafu Dhaalu,Kudhehaadhuaa
LD0871,Noonu,Than'burudhoo
LD0872,Raa,Lhohi
LD0873,Kaafu,Gaafaru
LD0874,Alifu Alifu,Himendhoo
LD0876,Meemu,Hurasveli
LD0877,Noonu,Kan'dinmaahuraa
LD0878,Gaafu Alifu,Melaimaa
LD0879,Lhaviyani,Thilamaafushi
LD0880,Haa Alifu,Medhafushi
LD0881,Gaafu Alifu,Faruhulhedhoo
LD0882,Haa Dhaalu,Fenboahuraa
LD0883,Gaafu Dhaalu,Thelehuttaa
LD0884,Gaafu Alifu, 
LD0885,Gaafu Dhaalu,Kudhemathaidhoo
LD0886,Kaafu,Lankanfushi
LD0887,Gaafu Dhaalu,Gahdhoo
LD0888,Seenu,Gan
LD0889,Baa,Maaddoohulhudhoo
LD0890,Kaafu,Hulhule
LD0892,Meemu, 
LD0893,Alifu Alifu,Kudafolhudhoo
LD0894,Kaafu,Dhiffushi
LD0895,Seenu, 
LD0896,Gaafu Dhaalu,Aakirahuttaa
LD0897,Dhaalu, 
LD0898,Thaa,Usfushi
LD0899,Seenu,Savaaheli
LD0900,Alifu Dhaalu,Moofushi
LD0901,Haa Alifu,Mulhadhoo
LD0902,Laamu,Kudamahigulhi
LD0903,Kaafu,Vaadhoo
LD0904,Gaafu Dhaalu,Rahadhuvaa
LD0905,Thaa,Kolhufushi
LD0906,Noonu,Hulhuhdhoo
LD0907,Noonu,Magoodhoo
LD0908,Haa Alifu,Ihavandhoo
LD0909,Haa Alifu,Madulu
LD0910,Baa,Dhandhoo
LD0911,Gaafu Alifu,Maarehaa
LD0912,Thaa,Fonidhaani
LD0914,Raa,Kan'doogan'du
LD0915,Haa Alifu,Thuraakunu
LD0916,Alifu Alifu,Ukulhas
LD0917,Raa,Arilundhoo
LD0918,Raa,Dhigali
LD0919,Gaafu Dhaalu,Maarehaa
LD0920,Meemu, 
LD0921,Shaviyani,Hurasfaru
LD0923,Shaviyani,Dholhiyadhookudarah
LD0924,Raa,Fainu
LD0925,Faafu,Maafushi
LD0926,Gaafu Alifu,Funamauddaa
LD0927,Shaviyani,Gaakoshibi
LD0928,Gaafu Dhaalu,Goshi
LD0929,Kaafu,Thulhaagiri
LD0930,Gaafu Dhaalu,Oinigillaa
LD0931,Baa,Goidhoo
LD0932,Dhaalu,Olhuveli
LD0934,Meemu, 
LD0935,Vaavu,Fohtheyobodufushi
LD0936,Gaafu Dhaalu,Ehivakaa
LD0937,Baa,Boifushi
LD0938,Laamu,Maavah
LD0939,Thaa,Olhufushi
LD0940,Gaafu Dhaalu,Konottaa
LD0941,Gaafu Dhaalu,Fatefandhoo
LD0942,Gaafu Dhaalu,Uhurehaa
LD0943,Dhaalu, 
LD0944,Noonu,Felivaru
LD0945,Gaafu Alifu,Baavanadhoo
LD0946,Gaafu Alifu,Munandhuvaa
LD0947,Seenu,Feydhoo
LD0950,Kaafu, 
LD0951,Laamu,Maafushi
LD0952,Laamu,Maakalhuveli
LD0953,Laamu,Guraidhoo
LD0954,Kaafu,Velassaru
LD0955,Laamu,Medhuvinagan'du
LD0956,Thaa,Rihaamaafushi
LD0957,Dhaalu,Maalefaru
LD0958,Baa,Nibiligaa
LD0959,Haa Dhaalu,Hon'daidhoo
LD0960,Kaafu,Kanifinolhu
LD0961,Raa,Maanenfushi
LD0962,Noonu,Hen'badhoo
LD0963,Lhaviyani,Boamandhipparu Huraagan'du
LD0964,Alifu Alifu,Gaagan'du
LD0965,Raa,Angaagiri
LD0966,Alifu Dhaalu,Lonuboi
LD0967,Meemu, 
LD0968,Baa,Mathifaru
LD0969,Haa Dhaalu,Keylakunu
LD0970,Faafu,Dharan'boodhoo
LD0971,Laamu,Kuredhirehaa
LD0972,Kaafu,Lankanfinolhu
LD0974,Dhaalu,Hudhufusheefinolhu
LD0975,Faafu,Vilin'gilivarufinolhu
LD0978,Shaviyani,Lhaimagu
LD0979,Noonu,Orimasvaru
LD0980,Lhaviyani,Huravalhi
LD0981,Kaafu,Akirifushi
LD0982,Noonu,Kudafunafaru
LD0983,Haa Alifu,Maafinolhu
LD0984,Haa Alifu,Thakandhoo
LD0985,Shaviyani,Noomaraa
LD0986,Meemu,Uthuruboduveli
LD0987,Haa Alifu,Baarah
LD0988,Laamu,Fares
LD0989,Gaafu Alifu,Bihurehaa
LD0990,Seenu,Herethere
LD0991,Baa, 
LD0992,Seenu,Kedevaahera
LD0993,Haa Alifu,Filladhoo
LD0994,Laamu,Baresdhoo
LD0995,Gaafu Dhaalu,Hunigoderehaa
LD0996,Noonu,Raafushi
LD0997,Alifu Alifu,Gaathafushi
LD0998,Thaa,Gaalee
LD0999,Baa,Innafushi
LD1000,Baa,Hithaadhoo
LD1001,Thaa,Ekuruffushi
LD1002,Alifu Alifu,Fesdhoo
LD1004,Seenu,Hithadhoo
LD1006,Gaafu Alifu,Faruhulhudhoo
LD1007,Alifu Dhaalu,Dhihdhoofinolhu
LD1008,Gaafu Dhaalu,Meragihuttaa
LD1009,Meemu,Hudhuveli
LD1010,Alifu Dhaalu,Vilin'gilivaru
LD1011,Thaa,Kolafushi
LD1012,Gaafu Dhaalu,Mathaidhoo
LD1013,Lhaviyani,Gaaerifaru
LD1014,Laamu,Boduhuraa
LD1015,Baa,Mudhdhoo
LD1016,Raa,Kudafushi
LD1017,Gaafu Alifu,Idhimaa
LD1018,Haa Dhaalu,Faridhoo
LD1019,Gaafu Dhaalu,Odagallaa
LD1020,Lhaviyani,Fushifaru
LD1021,Alifu Alifu,Fusfinolhu
LD1022,Raa,Goiymaru
LD1023,Alifu Dhaalu,Hangnaameedhoo
LD1024,Laamu,Kudafenrehaa
LD1025,Laamu,Kudafushi
LD1026,Vaavu,Vashugiri
LD1027,Gaafu Dhaalu,Rodaadhoo
LD1028,Lhaviyani,Dhashugirifinolhu
LD1029,Gaafu Dhaalu,Keredhirehaa
LD1030,Gaafu Dhaalu,Fenevenehuttaa
LD1031,Gaafu Dhaalu,Anhenerehaa
LD1032,Gaafu Alifu,Hulhimendhoo
LD1033,Haa Alifu,Alidhoo
LD1034,Laamu,Kudaveshi
LD1035,Thaa,Olhudhiyafushi
LD1036,Noonu,Medhafushi
LD1037,Haa Alifu,Dhapparuhuraa
LD1038,Laamu,Fonadhoo
LD1039,Kaafu,Vihamanaafushi
LD1040,Haa Dhaalu,Kun'burudhoo
LD1041,Baa,Finolhas
LD1042,Noonu,Randheli
LD1043,Vaavu,Anbaraa
LD1045,Gaafu Alifu,Kendheraa
LD1046,Gaafu Dhaalu, 
LD1047,Alifu Dhaalu,Dhigurah
LD1048,Laamu,Maaveshi
LD1049,Laamu,Dhan'bidhoo
LD1050,Dhaalu,Meedhoo
LD1052,Noonu,Dhigurah
LD1053,Laamu,Maabaidhoo
LD1054,Baa,Dhashufaruhuraa
LD1055,Raa,Dhinnaafushi
LD1056,Laamu, 
LD1057,Gaafu Alifu,Maadhigavara
LD1058,Shaviyani,Komandoo
LD1059,Meemu, 
LD1060,Gaafu Dhaalu,Hevaahulhudhoo
LD1061,Baa,Kihavahhuravalhi
LD1062,Alifu Dhaalu,Mahchafushi
LD1063,Raa,Veyvah
LD1064,Shaviyani,Bileiyfahi
LD1066,Baa,Muthaafushi
LD1067,Meemu, 
LD1068,Noonu,Miladhoo
LD1069,Gaafu Dhaalu,Maavehdhoo
LD1070,Laamu,Isdhoo
LD1071,Kaafu,Meerufenfushi
LD1072,Meemu,Thuvaru
LD1073,Thaa, 
LD1074,Gaafu Dhaalu,Dhiyanegili
LD1075,Baa,Milaidhoo
LD1077,Dhaalu,Minimasgali
LD1078,Thaa,Elaa
LD1079,Vaavu,Thinadhoo
LD1080,Alifu Alifu,Bathalaa
LD1082,Laamu,Fushi
LD1083,Noonu,Dhelibeyruhelhihuraa
LD1085,Gaafu Alifu,Maamendhoo
LD1086,Noonu,Kuredhivaru
LD1087,Laamu,Kokurahaa
LD1088,Gaafu Alifu,Fenrehaa
LD1089,Kaafu,Aarah
LD1090,Gaafu Dhaalu,Aakirahuttaa
LD1091,Gaafu Alifu,Nilandhoo
LD1092,Shaviyani,Kan'ditheemu
LD1093,Alifu Dhaalu,Hukurudhoo
LD1094,Gaafu Dhaalu,Olhurataa
LD1096,Laamu,Mendhoo
LD1097,Haa Alifu,Huvahandhoo
LD1099,Vaavu,Vattaru
LD1100,Shaviyani,Feydhoo
LD1101,Lhaviyani,Dhirun'baahuraa
LD1102,Alifu Dhaalu,Hiyafushi
LD1103,Thaa,Olhufushifinolhu
LD1104,Faafu,Kan'dumoonufushi
LD1105,Noonu,Dhekenanfaru
LD1106,Dhaalu,Bodufushi
LD1107,Lhaviyani,Komandoo
LD1108,Meemu,Bodukan'duhuraa
LD1109,Lhaviyani, 
LD1110,Meemu,Vannanerufasgan'du
LD1111,Lhaviyani,Hiriyadhoo
LD1112,Meemu,Dhekunuboduveli
LD1114,Kaafu,Kudahuraa
LD1115,Baa,Keyodhoo
LD1116,Meemu, 
LD1117,Raa,Ethigan'dujehihuraa
LD1118,Laamu,Olhuveli
LD1120,Raa,Fenfushi
LD1121,Raa,In'guraidhoo
LD1122,Raa,Kukulhudhoo
LD1123,Thaa,Kanimeedhoo
LD1124,Gaafu Dhaalu,Kaadehdhoo
LD1125,Noonu,Than'burudhuffushi
LD1126,Haa Dhaalu,Hirinaidhoo
LD1127,Raa,Kottefaru
LD1128,Noonu, 
LD1129,Kaafu,Hinmafushi
LD1130,Thaa,Ufuriyaa
LD1131,Alifu Dhaalu,Fushidhigga
LD1132,Haa Alifu,Umuraifinolhu
LD1133,Dhaalu,Kudathilabolhufushi
LD1134,Kaafu,Veligan'duhuraa
LD1135,Faafu,Madivaruhuraa
LD1136,Lhaviyani,Dhihdhoo
LD1137,Baa,Kashidhoo
LD1138,Haa Dhaalu,Vaikaramuraidhoo
LD1139,Alifu Alifu,Kuramathi
LD1140,Seenu,Fathikedeheragan'du
LD1141,Faafu,Himithi
LD1142,Kaafu,Makunudhoo
LD1143,Faafu,Faanumaahuraa
LD1144,Shaviyani,Maroshi
LD1145,Noonu,Ban'daidhihdhoo
LD1146,Baa,Dhunikolhu
LD1147,Alifu Dhaalu,Athurugau
LD1148,Vaavu,Kunaaveshi
LD1149,Shaviyani,Feevah
LD1150,Meemu,Raaban'dhihuraa
LD1151,Raa,Gemana
LD1152,Gaafu Dhaalu,Han'daidhoo
LD1153,Baa,Maarikilu
LD1154,Alifu Alifu,Dhinnolhufinolhu
LD1155,Haa Alifu,Naridhoo
LD1156,Gaafu Alifu,Bodubon'deyyaa
LD1157,Vaavu, 
LD1158,Faafu,Nilandhoo
LD1159,Shaviyani,Kudafarufinolhu
LD1160,Laamu,Bodufinolhu
LD1161,Gaafu Dhaalu,Haadhuaa
LD1162,Thaa,Kuran'dhuvaru
LD1163,Thaa,Guraidhoo
LD1164,Gaafu Dhaalu,Kodaanahuttaa
LD1165,Kaafu,Villivaru
LD1166,Meemu,Maduvvari
LD1167,Meemu,Veyvah
LD1168,Gaafu Dhaalu,Bolimathaidhoo
LD1169,Shaviyani,Neyo
LD1170,Shaviyani,Naainfarufinolhu
LD1171,Gaafu Alifu,Kon'deymatheelaabadhoo
LD1172,Laamu,Hanhushi
LD1173,Thaa,Kalhudheyfushi
LD1174,Gaafu Dhaalu,Kudhebeeraahuttaa
LD1175,Raa,Un'goofaaru
LD1176,Alifu Dhaalu,Maafushivaru
LD1177,Kaafu,Furanafushi
LD1178,Lhaviyani,Kanifushi
LD1179,Lhaviyani,Lhossalafushi
LD1182,Gaafu Alifu,Gemanafushi
LD1185,Dhaalu,Velavaru
LD1186,Laamu,Bodufinolhu
LD1187,Noonu, 
LD1188,Dhaalu,Maagau
LD1189,Haa Alifu,Hathifushi
LD1190,Lhaviyani,Ookolhufinolhu
LD1191,Laamu,Hulhisdhoo
LD1192,Haa Dhaalu,Hon'daafushi
LD1194,Kaafu,Bodufinolhu
LD1195,Gaafu Dhaalu,Bodehuttaa
LD1196,Haa Dhaalu,Muiri
LD1197,Baa,Kihaadhuffaru
LD1198,Alifu Dhaalu,Thun'dufushi
LD1199,Meemu,Kuradhigan'du
LD1200,Baa,En'boodhoo
LD1202,Thaa,Bodurehaa
LD1203,Kaafu, 
LD1206,Shaviyani, 
LD1207,Haa Dhaalu, 
LD1208,Baa, 
LD1209,Baa, 
LD1210,Baa, 
LD1211,Baa,Bathalaahuraa
LD1212,Raa,Minaadhoo
LD1214,Baa,Hanifaruhuraa
LD1215,Baa,Huraafaru
LD1216,Baa,Dhoogan'dufinolhu
LD1217,Baa, 
LD1218,Baa, 
LD1219,Baa,Vandhuhmaafarufinolhu
LD1220,Baa,Maafusheefinolhu
LD1221,Baa, 
LD1222,Baa, 
LD1223,Baa, 
LD1224,Baa,An'gaafaru
LD1225,Baa, 
LD1229,Baa, 
LD1230,Baa, 
LD1231,Raa, 
LD1232,Raa, 
LD1233,Raa, 
LD1236,Raa, 
LD1237,Raa, 
LD1238,Raa,Kukulhudhuffaru
LD1241,Lhaviyani, 
LD1242,Lhaviyani, 
LD1244,Lhaviyani, 
LD1249,Lhaviyani,Veligan'du
LD1252,Lhaviyani, 
LD1253,Lhaviyani, 
LD1255,Lhaviyani, 
LD1256,Lhaviyani, 
LD1261,Lhaviyani, 
LD1262,Lhaviyani, 
LD1266,Lhaviyani, 
LD1267,Lhaviyani,Faadhoohuraagan'du
LD1268,Lhaviyani, 
LD1271,Baa, 
LD1272,Baa, 
LD1273,Baa, 
LD1274,Baa, 
LD1275,Baa, 
LD1276,Baa, 
LD1277,Baa, 
LD1279,Baa, 
LD1280,Baa,Boadhaafushifinolhu
LD1283,Baa, 
LD1284,Baa, 
LD1287,Baa, 
LD1288,Baa, 
LD1293,Kaafu,Aanugan'dufinolhu
LD1295,Kaafu, 
LD1296,Kaafu, 
LD1297,Kaafu, 
LD1298,Kaafu, 
LD1299,Kaafu, 
LD1300,Kaafu,Dhonfushi
LD1301,Kaafu, 
LD1303,Kaafu, 
LD1304,Kaafu, 
LD1305,Kaafu, 
LD1306,Kaafu, 
LD1308,Kaafu, 
LD1310,Kaafu, 
LD1312,Kaafu, 
LD1313,Kaafu,Nakahchaahuraa
LD1315,Kaafu, 
LD1316,Kaafu, 
LD1317,Kaafu, 
LD1318,Kaafu, 
LD1320,Kaafu,Bodubis
LD1321,Kaafu, 
LD1323,Kaafu,Ithaafinolhu
LD1325,Kaafu, 
LD1326,Kaafu, 
LD1327,Kaafu, 
LD1328,Kaafu, 
LD1329,Kaafu,Tholhimaraahuraa
LD1334,Kaafu,Funfinolhu
LD1335,Kaafu,Noofinolhu
LD1336,Alifu Dhaalu, 
LD1337,Alifu Dhaalu,Ranfinolhu
LD1338,Alifu Dhaalu, 
LD1339,Alifu Dhaalu, 
LD1340,Alifu Dhaalu, 
LD1341,Alifu Dhaalu, 
LD1342,Alifu Alifu, 
LD1343,Alifu Alifu, 
LD1346,Alifu Alifu, 
LD1348,Alifu Dhaalu, 
LD1350,Alifu Dhaalu, 
LD1351,Alifu Dhaalu, 
LD1360,Vaavu,Kudamohoraa
LD1362,Vaavu, 
LD1363,Vaavu, 
LD1364,Vaavu, 
LD1365,Vaavu, 
LD1366,Vaavu, 
LD1367,Vaavu, 
LD1368,Vaavu, 
LD1369,Vaavu, 
LD1370,Vaavu, 
LD1371,Vaavu, 
LD1372,Meemu, 
LD1379,Meemu, 
LD1380,Faafu, 
LD1381,Faafu, 
LD1382,Faafu, 
LD1383,Dhaalu, 
LD1386,Dhaalu, 
LD1387,Dhaalu, 
LD1388,Dhaalu, 
LD1389,Dhaalu, 
LD1391,Dhaalu, 
LD1392,Dhaalu, 
LD1394,Dhaalu, 
LD1395,Dhaalu,Sarakafushi
LD1396,Dhaalu,Boarikifinolhu
LD1397,Dhaalu, 
LD1419,Thaa, 
LD1425,Laamu, 
LD1428,Laamu, 
LD1429,Laamu, 
LD1430,Laamu, 
LD1431,Laamu, 
LD1432,Gaafu Dhaalu,Raaverinkolhihuttaa
LD1434,Gaafu Dhaalu,Faanehuttaa
LD1435,Gaafu Dhaalu, 
LD1436,Gaafu Dhaalu, 
LD1437,Gaafu Dhaalu, 
LD1439,Gaafu Dhaalu, 
LD1440,Gaafu Alifu, 
LD1443,Gaafu Alifu, 
LD1444,Gaafu Alifu, 
LD1445,Gaafu Alifu, 
LD1447,Gaafu Alifu, 
LD1448,Gaafu Alifu, 
LD1449,Gaafu Alifu, 
LD1450,Gaafu Alifu, 
LD1451,Gaafu Alifu, 
LD1452,Seenu, 
LD1453,Seenu, 
LD1455,Alifu Alifu, 
LD1456,Alifu Alifu, 
LD1459,Haa Alifu,Dhigufaruhuraa
LD1460,Meemu, 
LD1465,Gaafu Alifu, 
LD1466,Meemu,Thuvaru Uthuruhuraa
LD1468,Seenu,Hasanbeaarah
LD1469,Seenu,Kudhehera
LD1470,Laamu,Fenboahuraa
LD1471,Meemu,Fenfuraaveli
LD1472,Seenu,Ismehelaahera
LD1473,Laamu,Kalaidhoo
LD1496,Gaafu Dhaalu,Kaafarataa
LD1497,Gaafu Dhaalu,Dhatemulaidhua
LD1498,Gaafu Dhaalu,Keyhuvadhoo
LD1499,Noonu,Maakanaafushi
LD1500,Kaafu,Maaranfushi
LD1501,Kaafu,Ehmafushi
LD1502,Kaafu,Akasdhoo
LD1503,Raa,Vakkarufaru
LD1504,Baa,Finolhufaru
LD1505,Alifu Dhaalu,Athulivarufinolhu
LD1506,Vaavu, 
LD1507,Kaafu,Ithaafushi
LD1508,Kaafu,Kan'baashaa
LD1509,Haa Alifu, 
LD1510,Haa Dhaalu, 
LD1511,Shaviyani, 
LD1512,Shaviyani, 
LD1513,Shaviyani, 
LD1514,Shaviyani, 
LD1515,Shaviyani, 
LD1516,Shaviyani, 
LD1517,Shaviyani, 
LD1518,Noonu, 
LD1519,Noonu, 
LD1520,Noonu, 
LD1521,Noonu, 
LD1522,Noonu, 
LD1523,Noonu, 
LD1524,Noonu, 
LD1525,Noonu, 
LD1526,Noonu, 
LD1527,Noonu, 
LD1528,Noonu, 
LD1529,Raa, 
LD1530,Raa, 
LD1531,Raa, 
LD1532,Raa, 
LD1533,Raa, 
LD1534,Raa, 
LD1535,Raa, 
LD1536,Raa, 
LD1537,Raa, 
LD1538,Raa, 
LD1539,Raa, 
LD1540,Raa, 
LD1541,Raa, 
LD1542,Raa, 
LD1543,Raa, 
LD1544,Raa, 
LD1545,Raa, 
LD1546,Raa, 
LD1547,Raa, 
LD1548,Raa, 
LD1549,Baa, 
LD1550,Baa, 
LD1551,Baa, 
LD1552,Baa, 
LD1553,Baa, 
LD1554,Baa, 
LD1555,Baa, 
LD1556,Baa, 
LD1557,Baa, 
LD1558,Baa, 
LD1559,Baa, 
LD1560,Baa, 
LD1561,Baa, 
LD1562,Lhaviyani, 
LD1563,Lhaviyani, 
LD1564,Lhaviyani, 
LD1565,Lhaviyani, 
LD1566,Lhaviyani, 
LD1567,Lhaviyani, 
LD1568,Lhaviyani, 
LD1569,Lhaviyani, 
LD1570,Lhaviyani, 
LD1571,Lhaviyani, 
LD1572,Lhaviyani, 
LD1573,Lhaviyani, 
LD1574,Lhaviyani, 
LD1575,Lhaviyani, 
LD1576,Lhaviyani, 
LD1577,Alifu Alifu, 
LD1578,Alifu Alifu, 
LD1579,Alifu Alifu, 
LD1580,Alifu Alifu, 
LD1581,Alifu Alifu, 
LD1582,Alifu Alifu, 
LD1583,Alifu Alifu, 
LD1584,Alifu Dhaalu, 
LD1585,Alifu Dhaalu, 
LD1586,Alifu Dhaalu, 
LD1587,Alifu Dhaalu, 
LD1588,Alifu Dhaalu, 
LD1589,Alifu Dhaalu, 
LD1590,Alifu Dhaalu, 
LD1591,Alifu Dhaalu, 
LD1592,Alifu Dhaalu, 
LD1593,Alifu Dhaalu, 
LD1594,Alifu Dhaalu, 
LD1595,Alifu Dhaalu, 
LD1596,Alifu Dhaalu, 
LD1597,Alifu Dhaalu, 
LD1598,Alifu Dhaalu, 
LD1599,Alifu Dhaalu, 
LD1600,Alifu Dhaalu, 
LD1601,Alifu Dhaalu, 
LD1602,Alifu Dhaalu, 
LD1603,Alifu Dhaalu, 
LD1604,Alifu Dhaalu, 
LD1605,Alifu Dhaalu, 
LD1606,Alifu Dhaalu, 
LD1607,Alifu Dhaalu, 
LD1608,Vaavu, 
LD1609,Vaavu, 
LD1610,Vaavu, 
LD1611,Vaavu, 
LD1612,Vaavu, 
LD1613,Vaavu, 
LD1614,Vaavu, 
LD1615,Vaavu, 
LD1616,Vaavu, 
LD1617,Vaavu, 
LD1618,Vaavu, 
LD1619,Vaavu, 
LD1620,Vaavu, 
LD1621,Vaavu, 
LD1622,Vaavu, 
LD1623,Vaavu, 
LD1624,Vaavu, 
LD1625,Meemu, 
LD1626,Meemu, 
LD1627,Meemu, 
LD1628,Meemu, 
LD1629,Meemu, 
LD1630,Meemu, 
LD1631,Meemu, 
LD1632,Meemu, 
LD1633,Meemu, 
LD1634,Meemu, 
LD1635,Meemu, 
LD1636,Meemu, 
LD1637,Meemu, 
LD1638,Meemu, 
LD1639,Faafu, 
LD1640,Faafu, 
LD1641,Faafu, 
LD1642,Faafu, 
LD1643,Faafu, 
LD1644,Faafu, 
LD1645,Faafu, 
LD1646,Faafu, 
LD1647,Faafu, 
LD1648,Faafu, 
LD1649,Dhaalu, 
LD1650,Dhaalu, 
LD1651,Dhaalu, 
LD1652,Dhaalu, 
